,term,definition,break_down
0,Abandonment Clause,"An abandonment clause in a property insurance contract, under certain circumstances, permits the property owner to abandon lost or damaged property and still claim a full settlement amount. If the insured party's property cannot be recovered, or the cost to recover or repair it is more than its total value, it can be abandoned and the insured party is entitled to a full settlement amount.","The abandonmentclause typically comes into play with marine property insurance, such as boats or watercraft. If a property owner's ship is sunk or lost at sea, the abandonment clause affords the owner the right to essentially ""give up"" on finding or recovering his or her property and subsequently collect a full insurance settlement from the insurer."
1,Abandonment and Salvage,Abandonment and salvage describes the forfeiture of property and the ensuing claim over that property by a second party.,"Abandonment and salvage can be added as a clause in an insurance contract, which gives the insurer the ability to accept the abandoned property. Abandonment must be expressed with intent. The potential financial rewards mean that salvage rights are sometimes legally contested by several parties. Salvage and abandonment clauses are usually found in marine insurance contracts."
2,Abbreviated New Drug Submission (ANDS),"An Abbreviated New Drug Submission (ANDS)is awritten request to Health Canada to obtain marketing approval for a generic drug. An Abbreviated New Drug Submission must be approved by Health Canada, the countrys federal department in charge of national health care, under Canadas Food and Drug regulations, before the generic drug can be marketed in the country. An ANDS provides the necessary information for the government agency to evaluate how safe and effective a generic drug is compared with its brand-name equivalent. The generic must be equally safe and effective to gain approval.","An Abbreviated New Drug Submission is used to obtain approval for generic drugs. This is in contrast to a New Drug Submission (NDS), which is used to obtain approval for a newbrand-name drug. An ANDSlists the related drugs brand name, chemical name, manufacturer name, dosage form(s) and strength(s). It states whether the drug has already been approved for marketing in the United States, the European Union, Switzerland, Singapore and/or Australia. It also addresses questionsabout drug impurities and drug stability."
3,Absolute Exclusion,"An absolute exclusion is an insurance policy clause that eliminates coverage of certain events. This type of clause allows insurers to deny coverage of claims regardless of how the event came to be, even if the claim only relates to the type of exclusion remotely. Insurers use absolute exclusions to clarify what events they will not cover in a policy, regardless of how an event comes to pass.","Insurance companies must provide policyholders with plainly worded forms that any absolute exclusions clear. If insurers willfully obscure or omit policy information or fail to provide clear, comprehensive forms, policyholders somteimtes take them to court for bad faith insurance practices."
4,Absolute Pollution Exclusion,"Absolute pollution exclusion is a commercial liability insurance policy clause that removes coverage of pollution that results from regular business operations. Absolute pollution exclusions to comprehensive general liability insurance policies became common after 1986, when standard pollution exclusions no longer containedsudden and accidental pollution incidents.","Absolute pollution exclusions came about in response to government regulations of environmentally harmful materials. Perhaps the most well-known case involved the Montrose Chemical Corporation of California, which produced dichlorodiphenyl- trichloroethane, commonly known as DDT. The company discharged waste into the Pacific Ocean for decades, and a federal lawsuit required the company to pay for the environmental cleanup costs resulting from the waste it produced."
5,Accelerated Benefits,"Accelerated benefits refers to aclause in certain life insurance policies that enablethe policyholder to receive the benefits before death. Accelerated benefits are normally reserved for those that suffer from a terminal illness, have a long term high-cost illness, require permanent nursing home confinement or have a medically incapacitating condition. Some insurance companies differ on how much cash can be pulled out and how close to death the insured has to be in order to receive these benefits. Insurers offer anywhere from 25to 100 percentof the death benefit as an early payment.Accelerated benefits are also referred to as living benefits.",Choosing an insurance policy with an accelerated benefitsallows the policyholder to pay for their daily living in an effort to make it ascomfortable as possible while also allowing the holder to look after his or her family once they pass away. This type of benefit was originally started in the late 1980s in an attempt to alleviate the financial pressures of those that were diagnosed with AIDS.
6,Accelerated Death Benefit (ADB),An accelerated death benefit (ADB) is a benefit that can be attached to a life insurance policy that enables the policyholder to receive cash advances against the death benefit in the case of being diagnosed with a terminal illness. Many individuals who choose anaccelerated death benefit have less than one year to live and use the money for treatments and other costs needed to stay alive.,Choosing an insurance policy with an accelerated death benefit (ADB) allows the policyholder to pay for their daily living in an effort to make it ascomfortable as possible while also allowing the holder to look after his or her family once they pass away. This type of benefit was originally started in the late 1980s in an attempt to alleviate the financial pressures of those that were diagnosed with AIDS.
7,Accelerated Option,"An acceleratedoption in an insurance contract, usually in the form of a rider,allows for accelerated benefits or partial benefits sooner than they would otherwise be payable. Alternatively, in life insurance contracts, an accelerated option can refer to the option that allows the policy holder to apply the accumulated cash value to pay off the policy.","One form of an accelerated option is the accelerated death benefit rider in a whole life insurance policy. Accelerated benefits, also known as ""living benefits,"" are life insurance policy proceeds paid to the policyholder before he or she dies. The benefits may be provided in the policies themselves, but more often they are added by riders or attachments to new or existing policies."
8,Acceleration Life Insurance,"A type of policy that pays a portion (typically 25% or 50%) of the death benefits (the face amount of the policy, less any outstanding loans or fees) in case of a specified illness or medical emergency.  ","The accelerated death benefit provides funds necessary to pay for medical costs, to extend the life of the insured. Insurance companies pay the specified percentage of the death benefit in a lump sum.Upon death, the remainder of the insured's death benefit is paid to the beneficiary, just as under a traditional life insurance policy."
9,Accelerative Endowment,An accelerative endowment is anoption in a whole life insurance policy to use accumulated dividends to convert the policy into an endowment policy prior to its normal maturity date. An endowment policy provides for a lump sum payment to the insured after a certain period.,An accelerative endowment is a form of an accelerated option that allows policyholders to access the value of their life insurance policies prior to death.The main benefit of accelerative endowments is that they give policyholders the option to receive a lump sum of money before their death. This is different from other life insurance options that only provide benefits upon the death of the insured. The lump sum allows the insured to make more investments or later earn a fixed income through the purchase an annuity policy. Or the lump sum received can be invested any way a policyholderwants.
10,Accident And Sickness Insurance Act,"This is a Canadian government statute that defines the acceptable terms and conditions of  health insurance coverage and sets out guidelines to which these policies must conform. It is now known as the Uniform Accident and Sickness Insurance Act, which is the model law adopted by the Canadian Council of Insurance Regulators (CCIR). The model legislation has been enacted, with minor variations, by all Canadian provinces. ","In Canada's extremely competitive life and health insurance market, the enactment of national laws and the ability to establish uniform standards agreed-to by all the provincial governments was a feat of great magnitude. It serves as a model for other nations with decentralized standards and licensing requirements. "
11,Accident-Year Statistics,Accident-Year Statistics are used by insurance companies to gauge what percentage of the premiums received are being paid out in claims. They are a measure of the total losses against the total revenue (both deductibles and premiums).,"Accident year statistics are a useful tool with regards to setting the premiums on all types of insurancefor the following year. In watching the trends of the accident-year statistics, insurance companies are able to forecast what their losses are likely to be, and therefore, decide what premiums to charge in order to make a profit."
